122.279, 129.938, 2.542, 16.150 False
122.156, 129.938, 2.440, 16.200 False
122.036, 129.938, 2.394, 16.250 False
121.916, 129.938, 2.424, 16.300 False
121.790, 129.938, 2.531, 16.350 False
121.657, 129.938, 2.687, 16.400 False
121.515, 129.938, 2.873, 16.450 False
121.363, 129.938, 3.078, 16.500 False
121.200, 129.938, 3.296, 16.550 False
121.027, 129.938, 3.508, 16.600 False
120.845, 129.938, 3.658, 16.650 False
120.660, 129.938, 3.703, 16.700 False
120.477, 129.938, 3.667, 16.750 False
120.297, 129.938, 3.581, 16.800 False
120.124, 129.938, 3.465, 16.850 False
119.956, 129.938, 3.331, 16.900 False
119.796, 129.938, 3.187, 16.950 False
119.643, 129.938, 3.040, 17.000 False
119.497, 129.938, 2.892, 17.050 False
119.359, 129.938, 2.746, 17.100 False
119.227, 129.938, 2.605, 17.150 False
119.102, 129.938, 2.468, 17.200 False
118.983, 129.938, 2.337, 17.250 False
118.871, 129.939, 2.212, 17.300 False
118.765, 129.939, 2.092, 17.350 False
118.664, 129.939, 1.979, 17.400 False
118.569, 129.939, 1.871, 17.450 False
118.480, 129.939, 1.729, 17.500 False
118.397, 129.939, 1.629, 17.550 False
118.318, 129.939, 1.553, 17.600 False
118.242, 129.939, 1.497, 17.650 False
118.168, 129.939, 1.458, 17.700 False
118.095, 129.939, 1.443, 17.750 False
118.022, 129.939, 1.442, 17.800 False
117.949, 129.939, 1.466, 17.850 False
117.873, 129.939, 1.501, 17.900 False
117.796, 129.939, 1.557, 17.950 False
117.715, 129.939, 1.620, 18.000 False
117.631, 129.939, 1.697, 18.050 False
117.542, 129.939, 1.777, 18.100 False
117.450, 129.939, 1.863, 18.150 False
117.353, 129.939, 1.950, 18.200 False
117.252, 129.939, 2.038, 18.250 False
117.147, 129.939, 2.125, 18.300 False
117.038, 129.939, 2.202, 18.350 False
116.925, 129.939, 2.272, 18.400 False
116.809, 129.939, 2.335, 18.450 False
116.691, 129.939, 2.394, 18.500 False
116.569, 129.939, 2.451, 18.550 False
116.445, 129.939, 2.506, 18.600 False
116.318, 129.939, 2.561, 18.650 False
116.188, 129.939, 2.616, 18.700 False
116.055, 129.939, 2.672, 18.750 False
115.921, 129.935, 2.702, 18.800 False
115.786, 129.922, 2.688, 18.850 False
115.653, 129.915, 2.679, 18.900 False
115.521, 129.919, 2.624, 18.950 False
115.393, 129.931, 2.540, 19.000 False
115.270, 129.948, 2.461, 19.050 False
115.149, 129.959, 2.424, 19.100 False
115.031, 129.959, 2.354, 19.150 False
114.916, 129.951, 2.270, 19.200 False
114.806, 129.936, 2.187, 19.250 False
114.698, 129.926, 2.163, 19.300 False
114.591, 129.926, 2.117, 19.350 False
114.487, 129.933, 2.058, 19.400 False
114.387, 129.947, 1.991, 19.450 False
114.287, 129.957, 1.985, 19.500 False
114.189, 129.957, 1.952, 19.550 False
114.093, 129.949, 1.911, 19.600 False
113.999, 129.936, 1.864, 19.650 False
113.905, 129.926, 1.871, 19.700 False
113.812, 129.927, 1.853, 19.750 False
113.720, 129.935, 1.820, 19.800 False
113.630, 129.948, 1.785, 19.850 False
113.541, 129.958, 1.802, 19.900 False
113.450, 129.959, 1.800, 19.950 False
113.360, 129.962, 1.795, 20.000 False
113.271, 129.965, 1.791, 20.050 False
113.181, 129.963, 1.777, 20.100 False
113.093, 129.955, 1.751, 20.150 False
